id_proveedor,id_entidad,n_contratos,monto_total,comparte_telefono,comparte_direccion,senal_organizacional
10000044003,PE-CONSUCODE-10613,1,60000.0,False,False,False
10000080573,PE-CONSUCODE-1984,1,118800.0,False,False,False
10000389001,PE-CONSUCODE-204006,1,182400.0,False,False,False
10000713576,PE-CONSUCODE-53,1,164630.0,False,False,False
10000832583,PE-CONSUCODE-1823,1,226300.0,False,False,False
10000911670,PE-CONSUCODE-200446,1,82500.0,False,False,False
10000927134,PE-CONSUCODE-1884,2,217794.7,False,False,False
10000943059,PE-CONSUCODE-200118,1,54772.3,False,False,False
10001126305,PE-CONSUCODE-200446,1,119333.0,False,False,False
10001130361,PE-CONSUCODE-10613,1,49300.0,False,False,False
10001155534,PE-CONSUCODE-1877,2,177658.0,False,False,False
10001160376,PE-CONSUCODE-203126,1,108255.6,False,False,False
10001182345,PE-CONSUCODE-201506,1,71500.0,False,False,False
10001187479,PE-CONSUCODE-2348,1,644899.2,False,False,False
10001187479,PE-CONSUCODE-53,1,32125.0,False,False,False
10001203504,PE-CONSUCODE-10248,1,280892.0,False,False,False
10001203504,PE-CONSUCODE-53,2,106966.0,False,False,False
10001232946,PE-CONSUCODE-10614,1,55734.0,False,False,False
10001264511,PE-CONSUCODE-200022,1,108800.0,False,False,False
10001272778,PE-CONSUCODE-204549,1,37000.0,False,False,False
10001284156,PE-CONSUCODE-200276,1,36000.0,False,False,False
10001295221,PE-CONSUCODE-1005,1,151478.0,False,False,False
10001504121,PE-CONSUCODE-10617,2,400000.0,False,False,False
10001520585,PE-CONSUCODE-1877,1,384000.0,False,False,False
10001657386,PE-CONSUCODE-1877,1,60500.0,False,False,False
10001659991,PE-CONSUCODE-1880,2,508000.0,False,False,False
10001662631,PE-CONSUCODE-200130,1,104208.93,False,False,False
10001702209,PE-CONSUCODE-2543,1,120000.0,False,False,False
10001704929,PE-CONSUCODE-203966,1,64240.0,False,False,False
10001711852,PE-CONSUCODE-204006,1,192000.0,False,False,False
10001877939,PE-CONSUCODE-47,1,46656.0,False,False,False
10001888418,PE-CONSUCODE-10180,1,107165.88,False,False,False
10001911193,PE-CONSUCODE-200684,1,66650.0,False,False,False
10002027203,PE-CONSUCODE-200562,1,304515.0,False,False,False
10002086544,PE-CONSUCODE-200562,1,53094.2,False,False,False
10002101756,PE-CONSUCODE-1895,1,64679.81,False,False,False
10002158855,PE-CONSUCODE-1859,1,89000.0,False,False,False
10002223631,PE-CONSUCODE-10247,1,126772.8,False,False,False
